brand,product_name,product_category_tree,product_rating,retail_price,discounted_price,discount_percentage,main_category,sub_category,price_bucket
Alisha,Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",,999.0,379.0,62.06206206206206,Clothing,Women's Clothing,<₹500
FabHomeDecor,FabHomeDecor Fabric Double Sofa Bed,"[""Furniture >> Living Room Furniture >> Sofa Beds & Futons >> FabHomeDecor Fabric Double Sofa Bed (Finish Colo...""]",,32157.0,22646.0,29.576764001617068,Furniture,Living Room Furniture,₹5K+
AW,AW Bellies,"[""Footwear >> Women's Footwear >> Ballerinas >> AW Bellies""]",,999.0,499.0,50.050050050050054,Footwear,Women's Footwear,<₹500
Alisha,Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",,699.0,267.0,61.80257510729614,Clothing,Women's Clothing,<₹500
Sicons,Sicons All Purpose Arnica Dog Shampoo,"[""Pet Supplies >> Grooming >> Skin & Coat Care >> Shampoo >> Sicons All Purpose Arnica Dog Shampoo (500 ml)""]",,220.0,210.0,4.545454545454546,Pet Supplies,Grooming,<₹500
Eternal Gandhi,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,"[""Eternal Gandhi Super Series Crystal Paper Weight...""]",,430.0,430.0,0.0,Eternal Gandhi Super Series Crystal Paper Weight...,,<₹500
Alisha,Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",,1199.0,479.0,60.05004170141785,Clothing,Women's Clothing,<₹500
dilli bazaaar,"dilli bazaaar Bellies, Corporate Casuals, Casuals","[""Footwear >> Women's Footwear >> Ballerinas >> dilli bazaaar Bellies, Corporate Casuals, Casuals""]",,699.0,349.0,50.07153075822603,Footwear,Women's Footwear,<₹500
Ladela,Ladela Bellies,"[""Footwear >> Women's Footwear >> Ballerinas >> Ladela Bellies""]",5.0,1724.0,950.0,44.895591647331784,Footwear,Women's Footwear,₹500–1K
Carrel,Carrel Printed Women's,"[""Clothing >> Women's Clothing >> Sports & Gym Wear >> Swimsuits >> Carrel Swimsuits >> Carrel Printed Women's""]",,2299.0,910.0,60.41757285776425,Clothing,Women's Clothing,₹500–1K
Freelance,Freelance Vacuum Bottles 350 ml Bottle,"[""Pens & Stationery >> School Supplies >> Water Bottles >> Freelance Water Bottles >> Freelance Vacuum Bottles 350 ml Bottle (Pack of ...""]",,699.0,699.0,0.0,Pens & Stationery,School Supplies,₹500–1K
Style Foot,Style Foot Bellies,"[""Footwear >> Women's Footwear >> Ballerinas >> Style Foot Bellies""]",,899.0,449.0,50.055617352614014,Footwear,Women's Footwear,<₹500
Carrel,Carrel Printed Women's,"[""Clothing >> Women's Clothing >> Sports & Gym Wear >> Swimsuits >> Carrel Swimsuits >> Carrel Printed Women's""]",,2499.0,999.0,60.024009603841534,Clothing,Women's Clothing,₹500–1K
Sicons,Sicons Conditioning Conditoner Dog Shampoo,"[""Pet Supplies >> Grooming >> Skin & Coat Care >> Shampoo >> Sicons Conditioning Conditoner Dog Shampoo (200 ml)""]",,110.0,100.0,9.090909090909092,Pet Supplies,Grooming,<₹500
dongli,dongli Printed Boy's Round Neck T-Shirt,"[""Clothing >> Kids' Clothing >> Boys Wear >> Polos & T-Shirts >> dongli Polos & T-Shirts >> dongli Printed Boy's Round Neck T-Shirt (Pack of 4)""]",,2400.0,1039.0,56.708333333333336,Clothing,Kids' Clothing,₹1K–2K
SWAGGA,SWAGGA Women Clogs,"[""Footwear >> Women's Footwear >> Sports Sandals >> SWAGGA Women Clogs""]",,1500.0,1500.0,0.0,Footwear,Women's Footwear,₹1K–2K
Kennel,Kennel Rubber Dumbell With Bell - Small Rubber Rubber Toy For Dog,"[""Pet Supplies >> Toys >> Comfort Toys""]",,190.0,190.0,0.0,Pet Supplies,Toys,<₹500
Unknown,Glus Wedding Lingerie Set,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Lingerie Sets >> Glus Lingerie Sets""]",,1299.0,699.0,46.18937644341801,Clothing,Women's Clothing,₹500–1K
Unknown,Veelys Shiny White Quad Roller Skates - Size 4.5 UK,"[""Sports & Fitness >> Other Sports >> Skating >> Skates >> Veelys Skates""]",,3199.0,2499.0,21.88183807439825,Sports & Fitness,Other Sports,₹2K–5K
Unknown,Bulaky vanity case Jewellery Vanity Case,"[""Beauty and Personal Care >> Makeup >> Vanity Boxes >> Bulaky Vanity Boxes""]",3.0,499.0,390.0,21.8436873747495,Beauty and Personal Care,Makeup,<₹500
Unknown,FDT Women's Leggings,"[""Clothing >> Women's Clothing >> Fusion Wear >> Leggings & Jeggings >> Legging Jegging >> FDT Legging Jegging""]",,699.0,309.0,55.793991416309005,Clothing,Women's Clothing,<₹500
Unknown,Madcaps C38GR30 Men's Cargos,"[""Clothing >> Men's Clothing >> Cargos, Shorts & 3/4ths >> Cargos >> Madcaps Cargos""]",,2199.0,1699.0,22.73760800363802,Clothing,Men's Clothing,₹1K–2K
Bengal Blooms,Bengal Blooms Rose Artificial Plant  with Pot,"[""Bengal Blooms Rose Artificial Plant  with Pot (3...""]",,799.0,579.0,27.53441802252816,Bengal Blooms Rose Artificial Plant  with Pot (3...,,₹500–1K
Indcrown,Indcrown Net Embroidered Semi-stitched Lehenga Choli Material,"[""Clothing >> Women's Clothing >> Ethnic Wear >> Fabric >> Lehenga Choli Material >> Indcrown Lehenga Choli Material >> Indcrown Net Embroidered Semi-stitched Lehenga C...""]",,999.0,699.0,30.03003003003003,Clothing,Women's Clothing,₹500–1K
Shopmania,Shopmania Music Band A5 Notebook Spiral Bound,"[""Pens & Stationery >> Diaries & Notebooks >> Notebooks >> Designer >> Shopmania Designer >> Shopmania Music Band A5 Notebook Spiral Bound (M...""]",,499.0,275.0,44.88977955911824,Pens & Stationery,Diaries & Notebooks,<₹500
Tiara Diaries,"Tiara Diaries 2016-2017 Designer LA Kaarta ""TAKING ACTION GETTING RESULT"" (Set of 3) B5 Notebook Hard Bound","[""Pens & Stationery >> Diaries & Notebooks >> Notebooks >> Designer >> Tiara Diaries Designer >> Tiara Diaries 2016-2017 Designer LA Kaarta \""TAKI...""]",,1000.0,837.0,16.3,Pens & Stationery,Diaries & Notebooks,₹500–1K
KAJCI,KAJCI Embroidered Women's Waistcoat,"[""Clothing >> Women's Clothing >> Formal Wear >> Waistcoats >> KAJCI Waistcoats >> KAJCI Embroidered Women's Waistcoat""]",,1200.0,699.0,41.75,Clothing,Women's Clothing,₹500–1K
Packman,Packman 8 x 10 inches Security Bags Without POD Jacket Courier Bag Security Bag,"[""Pens & Stationery >> Office Supplies >> Packaging Security Bags >> Packman Packaging Security Bags >> Packman 8 x 10 inches Security Bags Without POD ...""]",,350.0,298.0,14.857142857142858,Pens & Stationery,Office Supplies,<₹500
Pick Pocket,Pick Pocket Embroidered Women's Waistcoat,"[""Clothing >> Women's Clothing >> Formal Wear >> Waistcoats >> Pick Pocket Waistcoats >> Pick Pocket Embroidered Women's Waistcoat""]",,899.0,899.0,0.0,Clothing,Women's Clothing,₹500–1K
Angelfish,Angelfish Silk Potali Potli,"[""Bags, Wallets & Belts >> Bags >> Pouches and Potlis >> Angelfish Pouches and Potlis >> Angelfish Silk Potali Potli (Multicolor)""]",,999.0,399.0,60.06006006006006,"Bags, Wallets & Belts",Bags,<₹500
Oye,Oye Boy's Dungaree,"[""Clothing >> Kids' Clothing >> Boys Wear >> Dungarees & Jumpsuits >> Dungarees >> Oye Dungarees >> Oye Boy's Dungaree""]",,899.0,764.0,15.016685205784205,Clothing,Kids' Clothing,₹500–1K
Nuride,Nuride Canvas Shoes,"[""Footwear >> Women's Footwear >> Casual Shoes >> Canvas >> Nuride Canvas Shoes""]",,1999.0,1349.0,32.51625812906453,Footwear,Women's Footwear,₹1K–2K
OM SHIVAKRITI,OM SHIVAKRITI Square wall Clock Showpiece  -  38.1 cm,"[""Home Decor & Festive Needs >> Showpiece >> Gramophones >> OM SHIVAKRITI Gramophones >> OM SHIVAKRITI Square wall Clock Showpiece  -  38...""]",,1499.0,1499.0,0.0,Home Decor & Festive Needs,Showpiece,₹1K–2K
Himmlisch,Himmlisch ST381 Magnetic Sun Shade For Maruti Alto,"[""Automotive >> Accessories & Spare parts >> Car Interior & Exterior >> Car Interior >> Car Sun Shades >> Himmlisch ST381 Magnetic Sun Shade For Maruti Al...""]",,6999.0,1899.0,72.86755250750107,Automotive,Accessories & Spare parts,₹1K–2K
Rapter,Rapter BNC-179 BNC Wire Connector,"[""Tools & Hardware >> Tools >> Hardware & Electricals >> Hardware >> Wire Joints & Connectors >> Rapter BNC-179 BNC Wire Connector (Silver, Pack ...""]",,2299.0,1400.0,39.10395824271423,Tools & Hardware,Tools,₹1K–2K
Vishudh,Vishudh Printed Women's Straight Kurta,"[""Vishudh Printed Women's Straight Kurta""]",,999.0,499.0,50.050050050050054,Vishudh Printed Women's Straight Kurta,,<₹500
Vishudh,Vishudh Printed Women's Straight Kurta,"[""Vishudh Printed Women's Straight Kurta""]",,899.0,449.0,50.055617352614014,Vishudh Printed Women's Straight Kurta,,<₹500
Vishudh,Vishudh Printed Women's Anarkali Kurta,"[""Vishudh Printed Women's Anarkali Kurta""]",,2099.0,1049.0,50.02382086707956,Vishudh Printed Women's Anarkali Kurta,,₹1K–2K
BuildTrack,BuildTrack PIR Wireless Motion Sensor - One Switch Control Wireless Sensor Security System,"[""BuildTrack PIR Wireless Motion Sensor - One Swit...""]",,6500.0,5000.0,23.076923076923077,BuildTrack PIR Wireless Motion Sensor - One Swit...,,₹2K–5K
Skayvon,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER Wired Sensor Security System,"[""Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER...""]",,9990.0,4990.0,50.050050050050054,Skayvon SUMMERSIBLE SINGLE PHASE PUMP CONTROLLER...,,₹2K–5K
MASARA,MASARA Solid Women's Straight Kurta,"[""MASARA Solid Women's Straight Kurta""]",,1399.0,599.0,57.18370264474625,MASARA Solid Women's Straight Kurta,,₹500–1K
Rapter,Rapter BNC-047 BNC Wire Connector,"[""Tools & Hardware >> Tools >> Hardware & Electricals >> Hardware >> Wire Joints & Connectors >> Rapter BNC-047 BNC Wire Connector (Silver, Pack ...""]",,1299.0,899.0,30.792917628945343,Tools & Hardware,Tools,₹500–1K
Skayvon,Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER Wired Sensor Security System,"[""Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER...""]",,8999.0,4990.0,44.54939437715302,Skayvon SUBMERSIBBLE THREE PHASE PUMP CONTROLLER...,,₹2K–5K
Behringer,Behringer Xenyx 502 Analog Sound Mixer,"[""Behringer Xenyx 502 Analog Sound Mixer""]",,10000.0,6600.0,34.0,Behringer Xenyx 502 Analog Sound Mixer,,₹5K+
MASARA,MASARA Solid Women's Straight Kurta,"[""MASARA Solid Women's Straight Kurta""]",,1399.0,550.0,60.686204431736954,MASARA Solid Women's Straight Kurta,,₹500–1K
Roadster,Roadster Men's Zipper Solid Cardigan,"[""Clothing >> Men's Clothing >> Winter & Seasonal Wear >> Cardigans >> Roadster Cardigans >> Roadster Men's Zipper Solid Cardigan""]",3.6,1399.0,699.0,50.03573981415297,Clothing,Men's Clothing,₹500–1K
Noor,Noor Embroidered Women's Straight Kurta,"[""Noor Embroidered Women's Straight Kurta""]",,1649.0,849.0,48.51425106124924,Noor Embroidered Women's Straight Kurta,,₹500–1K
Libas,Libas Printed Women's A-line Kurta,"[""Libas Printed Women's A-line Kurta""]",,899.0,449.0,50.055617352614014,Libas Printed Women's A-line Kurta,,<₹500
Libas,Libas Printed Women's Anarkali Kurta,"[""Libas Printed Women's Anarkali Kurta""]",,1849.0,924.0,50.02704164413196,Libas Printed Women's Anarkali Kurta,,₹500–1K
MASARA,MASARA Solid Women's Straight Kurta,"[""MASARA Solid Women's Straight Kurta""]",,999.0,499.0,50.050050050050054,MASARA Solid Women's Straight Kurta,,<₹500
HRS,HRS ULTIMATE BOY Chest Pads,"[""Sports & Fitness >> Team Sports >> Cricket >> Cricket Pads >> HRS Cricket Pads >> HRS ULTIMATE BOY Chest Pads (WHITE, RIGHT-HANDED)""]",,440.0,395.0,10.227272727272728,Sports & Fitness,Team Sports,<₹500
Vermello,Vermello Men Casual Brown Genuine Leather Belt,"[""Bags, Wallets & Belts >> Belts >> Vermello Belts >> Vermello Men Casual Brown Genuine Leather Belt (...""]",,1495.0,795.0,46.82274247491639,"Bags, Wallets & Belts",Belts,₹500–1K
HRS,HRS CLUB BOY Thigh Pads,"[""Sports & Fitness >> Team Sports >> Cricket >> Cricket Pads >> HRS Cricket Pads >> HRS CLUB BOY Thigh Pads (WHITE, RIGHT-HANDED)""]",,280.0,250.0,10.714285714285714,Sports & Fitness,Team Sports,<₹500
Ligans NY,Ligans NY Men Formal Black Genuine Leather Belt,"[""Bags, Wallets & Belts >> Belts >> Ligans NY Belts >> Ligans NY Men Formal Black Genuine Leather Belt ...""]",,795.0,695.0,12.578616352201259,"Bags, Wallets & Belts",Belts,₹500–1K
Elegance,Elegance Polyester Multicolor Abstract Eyelet Door Curtain,"[""Home Furnishing >> Curtains & Accessories >> Curtains >> Elegance Polyester Multicolor Abstract Eyelet Do...""]",,1899.0,899.0,52.6592943654555,Home Furnishing,Curtains & Accessories,₹500–1K
Liza,Liza Women Wedges,"[""Footwear >> Women's Footwear >> Wedges >> Liza Women Wedges""]",,1990.0,1393.0,30.0,Footwear,Women's Footwear,₹1K–2K
