brand,product_name,product_category_tree,product_rating,retail_price,discounted_price,discount_percentage,main_category,sub_category,price_bucket,price_bucket_sort,discount_bucket,discount_bucket_sort
Alisha,Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",,999.0,379.0,62.06206206206206,Clothing,Women's Clothing,<₹500,1,60–80%,5
FabHomeDecor,FabHomeDecor Fabric Double Sofa Bed,"[""Furniture >> Living Room Furniture >> Sofa Beds & Futons >> FabHomeDecor Fabric Double Sofa Bed (Finish Colo...""]",,32157.0,22646.0,29.576764001617068,Furniture,Living Room Furniture,₹5K+,5,20–40%,3
AW,AW Bellies,"[""Footwear >> Women's Footwear >> Ballerinas >> AW Bellies""]",,999.0,499.0,50.05005005005005,Footwear,Women's Footwear,<₹500,1,40–60%,4
Alisha,Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",,699.0,267.0,61.80257510729614,Clothing,Women's Clothing,<₹500,1,60–80%,5
Sicons,Sicons All Purpose Arnica Dog Shampoo,"[""Pet Supplies >> Grooming >> Skin & Coat Care >> Shampoo >> Sicons All Purpose Arnica Dog Shampoo (500 ml)""]",,220.0,210.0,4.545454545454546,Pet Supplies,Grooming,<₹500,1,0–10%,1
Eternal Gandhi,Eternal Gandhi Super Series Crystal Paper Weights  with Silver Finish,"[""Eternal Gandhi Super Series Crystal Paper Weight...""]",,430.0,430.0,0.0,Eternal Gandhi Super Series Crystal Paper Weight...,,<₹500,1,0–10%,1
Alisha,Alisha Solid Women's Cycling Shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]",,1199.0,479.0,60.05004170141785,Clothing,Women's Clothing,<₹500,1,60–80%,5
dilli bazaaar,"dilli bazaaar Bellies, Corporate Casuals, Casuals","[""Footwear >> Women's Footwear >> Ballerinas >> dilli bazaaar Bellies, Corporate Casuals, Casuals""]",,699.0,349.0,50.07153075822603,Footwear,Women's Footwear,<₹500,1,40–60%,4
Ladela,Ladela Bellies,"[""Footwear >> Women's Footwear >> Ballerinas >> Ladela Bellies""]",5.0,1724.0,950.0,44.89559164733178,Footwear,Women's Footwear,₹500–1K,2,40–60%,4
Carrel,Carrel Printed Women's,"[""Clothing >> Women's Clothing >> Sports & Gym Wear >> Swimsuits >> Carrel Swimsuits >> Carrel Printed Women's""]",,2299.0,910.0,60.41757285776425,Clothing,Women's Clothing,₹500–1K,2,60–80%,5
Freelance,Freelance Vacuum Bottles 350 ml Bottle,"[""Pens & Stationery >> School Supplies >> Water Bottles >> Freelance Water Bottles >> Freelance Vacuum Bottles 350 ml Bottle (Pack of ...""]",,699.0,699.0,0.0,Pens & Stationery,School Supplies,₹500–1K,2,0–10%,1
